0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:24:13 +0530] "GET /OnlinFoodBOX/%3Cc:url%20value= HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:24:58 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:26:33 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:27:35 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:27:49 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:29:23 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:29:38 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:29:57 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:30:53 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:32:02 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:32:02 +0530] "GET /OnlinFoodBOX/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:32:30 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:32:31 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:32:52 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:32:52 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:33:13 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:33:13 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:33:25 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:33:25 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:37:44 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:37:44 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:38:16 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 2845
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:38:16 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:38:36 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 2844
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:46:23 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:46:23 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:47:28 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3379
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:50:15 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:50:15 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:13:51:02 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [14/Dec/2022:14:48:51 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [14/Dec/2022:14:48:51 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:14:51:19 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3016
0:0:0:0:0:0:0:1 - - [14/Dec/2022:14:52:30 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [14/Dec/2022:14:56:01 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [14/Dec/2022:14:58:03 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [14/Dec/2022:14:58:04 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:01:52 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:02:08 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:07:44 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:07:45 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:08:11 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:08:11 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:08:38 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:08:38 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:10:03 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:10:03 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:10:23 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:10:23 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:10:36 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:10:36 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:10:41 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:10:41 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:12:12 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:12:12 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:12:14 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:12:14 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:12:19 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:12:19 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:12:20 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:12:20 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:12:39 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:12:39 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:13:19 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:13:19 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:13:27 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:13:27 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:13:48 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:13:48 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:16:01 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:16:01 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:16:03 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:16:03 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:16:13 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:16:13 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:25 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:25 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:26 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:26 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:27 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:27 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:27 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:27 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:27 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:27 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:28 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:28 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:28 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:28 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:31 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:31 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:32 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:32 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:32 +0530] "GET /OnlinFoodBOX/index.jsp HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:32 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:37 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:18:37 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:19:05 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:19:05 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:22:06 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:22:06 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:24:05 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:24:05 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:24:33 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3032
